	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
77	Daniel Gafford	WAS	WAS vs. DET	10/25/2022	W	20	9	4	6	66.7	0	0	-	1	2	50.0	1	4	5	1	0	2	0	2	19	22.5
78	Hamidou Diallo	DET	DET @ WAS	10/25/2022	L	17	7	3	5	60.0	0	0	-	1	3	33.3	2	5	7	0	0	0	0	3	0	15.4
79	Jordan Goodwin	WAS	WAS vs. DET	10/25/2022	W	2	2	1	1	100	0	0	-	0	0	-	1	2	3	0	0	0	1	0	0	4.6
80	Kyle Kuzma	WAS	WAS vs. DET	10/25/2022	W	27	25	9	17	52.9	0	5	0.0	7	8	87.5	0	6	6	1	0	1	3	4	23	33.7
81	Deni Avdija	WAS	WAS vs. DET	10/25/2022	W	27	9	3	6	50.0	1	3	33.3	2	2	100	0	7	7	2	1	2	0	2	12	29.4
82	Cade Cunningham	DET	DET @ WAS	10/25/2022	L	32	19	7	19	36.8	0	2	0.0	5	6	83.3	0	3	3	3	1	0	3	3	-18	27.1
83	Jaden Ivey	DET	DET @ WAS	10/25/2022	L	29	11	4	10	40.0	1	3	33.3	2	4	50.0	0	2	2	4	2	0	0	5	-18	25.4
84	Taj Gibson	WAS	WAS vs. DET	10/25/2022	W	3	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	1	0.0
85	DeAndre Jordan	DEN	DEN @ POR	10/24/2022	L	10	4	2	3	66.7	0	0	-	0	2	0.0	0	2	2	1	0	0	0	1	-3	7.9
86	Kentavious Caldwell-Pope	DEN	DEN @ POR	10/24/2022	L	30	6	2	6	33.3	1	3	33.3	1	1	100	1	1	2	5	1	0	1	2	-15	17.9
87	Jerami Grant	POR	POR vs. DEN	10/24/2022	W	36	21	7	13	53.8	1	6	16.7	6	7	85.7	0	2	2	1	0	1	1	0	19	26.9
88	Aaron Gordon	DEN	DEN @ POR	10/24/2022	L	28	26	12	16	75.0	0	2	0.0	2	2	100	2	4	6	1	0	0	1	4	-16	33.7
89	Davon Reed	DEN	DEN @ POR	10/24/2022	L	8	3	1	4	25.0	1	3	33.3	0	0	-	0	0	0	0	0	0	1	1	-3	2.0
90	Michael Porter Jr.	DEN	DEN @ POR	10/24/2022	L	26	18	7	14	50.0	4	8	50.0	0	0	-	1	3	4	2	0	0	1	5	-3	24.8
91	Ish Smith	DEN	DEN @ POR	10/24/2022	L	4	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	1	0	-3	0.5
92	Shaedon Sharpe	POR	POR vs. DEN	10/24/2022	W	16	11	4	6	66.7	1	2	50.0	2	2	100	1	0	1	0	0	0	1	2	7	11.2
93	Bones Hyland	DEN	DEN @ POR	10/24/2022	L	18	15	5	10	50.0	4	7	57.1	1	2	50.0	0	1	1	3	0	0	1	1	-18	19.7
94	Nassir Little	POR	POR vs. DEN	10/24/2022	W	18	11	4	6	66.7	2	3	66.7	1	3	33.3	0	4	4	0	0	0	0	0	7	15.8
95	Bruce Brown	DEN	DEN @ POR	10/24/2022	L	24	6	3	6	50.0	0	1	0.0	0	0	-	2	3	5	4	1	1	1	1	-16	23.0
96	Josh Hart	POR	POR vs. DEN	10/24/2022	W	35	6	3	7	42.9	0	2	0.0	0	1	0.0	4	7	11	1	0	0	1	1	20	19.7
97	Jamal Murray	DEN	DEN @ POR	10/24/2022	L	27	8	3	12	25.0	2	4	50.0	0	2	0.0	0	2	2	1	0	0	0	2	-15	11.9
98	Nikola Jokic	DEN	DEN @ POR	10/24/2022	L	27	9	3	4	75.0	0	0	-	3	3	100	1	8	9	9	0	0	1	5	-10	32.3
