	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
25	Khem Birch	ORL	ORL vs. BKN	08/11/2020	L	27	12	4	7	57.1	0	0	-	4	4	100	4	5	9	2	2	0	1	2	-16	30.8
26	Melvin Frazier Jr.	ORL	ORL vs. BKN	08/11/2020	L	27	4	2	4	50.0	0	1	0.0	0	0	-	1	0	1	0	1	0	0	1	-8	8.2
27	Justin Anderson	BKN	BKN @ ORL	08/11/2020	W	31	2	1	15	6.7	0	12	0.0	0	1	0.0	0	5	5	2	0	1	2	3	9	12.0
28	Tyler Johnson	BKN	BKN @ ORL	08/11/2020	W	22	14	5	10	50.0	2	3	66.7	2	2	100	1	2	3	5	0	0	0	1	7	25.1
29	James Ennis III	ORL	ORL vs. BKN	08/11/2020	L	23	12	3	4	75.0	2	2	100	4	6	66.7	0	5	5	0	1	1	3	4	-15	21.0
30	Gary Clark	ORL	ORL vs. BKN	08/11/2020	L	23	2	1	2	50.0	0	1	0.0	0	0	-	1	1	2	0	0	2	1	1	-15	9.4
31	Rodions Kurucs	BKN	BKN @ ORL	08/11/2020	W	25	2	1	4	25.0	0	2	0.0	0	0	-	1	8	9	0	1	1	0	2	2	18.8
32	Lance Thomas	BKN	BKN @ ORL	08/11/2020	W	24	12	4	5	80.0	3	4	75.0	1	1	100	1	2	3	1	0	0	2	3	4	15.1
33	Markelle Fultz	ORL	ORL vs. BKN	08/11/2020	L	22	18	7	18	38.9	1	4	25.0	3	3	100	2	3	5	2	2	0	3	2	-8	30.0
34	Jeremiah Martin	BKN	BKN @ ORL	08/11/2020	W	27	24	8	15	53.3	1	4	25.0	7	8	87.5	0	2	2	6	1	0	1	2	-1	37.4
35	Donta Hall	BKN	BKN @ ORL	08/11/2020	W	31	10	5	7	71.4	0	0	-	0	0	-	3	6	9	1	1	2	1	5	3	30.3
36	Timothe Luwawu-Cabarrot	BKN	BKN @ ORL	08/11/2020	W	24	24	8	12	66.7	4	8	50.0	4	4	100	0	7	7	0	1	0	3	0	8	32.4
37	Vic Law	ORL	ORL vs. BKN	08/11/2020	L	25	4	2	6	33.3	0	3	0.0	0	0	-	1	3	4	1	1	0	1	3	3	12.3
38	Chris Chiozza	BKN	BKN @ ORL	08/11/2020	W	21	3	1	6	16.7	1	3	33.3	0	0	-	1	2	3	5	4	0	0	2	13	26.1
39	Wes Iwundu	ORL	ORL vs. BKN	08/11/2020	L	30	18	5	11	45.5	2	3	66.7	6	8	75.0	0	5	5	3	0	0	2	5	-6	26.5
